22,2,2
22,4,3
22,5,4
22,9,5
22,10,6
22,12,7
22,23,8
22,24,9
22,25,10
23,0,0
23,1,1
23,2,2
23,3,3
23,4,4
23,5,5
23,6,6
23,7,7
23,8,8
23,10,9
23,12,10
23,23,11
23,24,12
23,25,13
23,26,14
24,1,0
24,2,1
24,3,2
24,4,3
24,5,4
24,6,5
24,9,6
24,11,7
24,15,8
24,20,9
24,23,10
24,24,11
24,25,12
25,0,0
25,1,1
25,3,2
25,4,3
25,5,4
25,9,5
25,11,6
25,15,7
25,24,8
25,23,9
25,25,10
26,0,0
26,1,1
26,3,2
26,4,3
26,5,4
26,7,5
26,8,6
26,9,7
26,10,8
26,11,9
26,12,10
26,14,11
26,16,12
26,23,13
26,24,14
26,25,15
26,26,16
27,0,0
27,1,1
27,3,2
27,4,3
27,5,4
27,6,5
27,9,6
27,10,7
27,11,8
27,12,9
27,13,10
27,23,11
27,24,12
27,25,13
28,0,0
28,1,1
28,3,2
28,4,3
28,5,4
28,6,5
28,9,6
28,11,7
28,13,8
28,12,9
28,23,10
28,24,11
28,25,12
29,0,0
29,1,1
29,2,2
29,3,3
29,4,4
29,5,5
29,6,6
29,9,7
29,10,8
29,11,9
29,12,10
29,13,11
29,22,12
29,23,13
29,24,14
29,25,15
30,0,0
30,1,1
30,3,2
30,4,3
30,5,4
30,7,5
30,8,6
30,9,7
30,11,8
30,16,9
30,17,10
30,18,11
30,23,12
30,24,13
30,25,14
30,26,15
31,13,0
31,12,1
31,11,2
31,10,3
31,9,4
31,8,5
31,7,6
31,6,7
31,5,8
31,4,9
31,3,10
31,1,11
31,0,12
31,16,13
31,20,14
31,23,15
31,24,16
31,25,17
31,26,18
32,0,0
32,1,1
32,3,2
32,4,3
32,5,4
32,9,5
32,10,6
32,11,7
32,16,8
32,23,9
32,24,10
32,25,11
33,5,0
33,6,1
33,7,2
33,8,3
33,25,4
33,26,5
34,5,0
34,6,1
34,7,2
34,8,3
34,25,4
34,26,5
35,2,0
35,5,1
35,6,2
35,7,3
35,8,4
35,25,5
35,26,6
